earliest_credit_line,Count
1999-10-01,434
2000-10-01,420
1999-11-01,410
1998-11-01,408
2000-11-01,405
2000-08-01,404
1998-10-01,388
2000-09-01,384
2001-10-01,379
1999-12-01,366
2000-12-01,362
2001-08-01,362
1998-12-01,362
1999-09-01,358
2002-10-01,356
1997-11-01,352
2001-09-01,346
2000-05-01,341
1999-08-01,336
2001-01-01,332
2000-01-01,326
2003-10-01,326
2000-07-01,321
2001-05-01,321
2001-07-01,320
2002-09-01,319
1997-10-01,315
1996-12-01,313
1998-08-01,312
1997-12-01,310
2000-03-01,309
1996-11-01,306
1998-09-01,306
2000-06-01,305
2001-06-01,304
2001-12-01,303
2000-02-01,300
2001-03-01,299
2001-02-01,298
1999-01-01,298
2000-04-01,298
1999-07-01,297
1999-03-01,297
1999-06-01,295
1995-12-01,294
1999-05-01,290
2003-09-01,289
2002-08-01,288
2001-04-01,283
2002-11-01,280
1999-02-01,278
1995-11-01,278
2004-10-01,275
2003-08-01,274
1997-08-01,273
1998-05-01,272
1998-07-01,265
2002-07-01,264
2002-01-01,261
1994-12-01,259
1998-06-01,259
2003-11-01,257
2001-11-01,257
1995-10-01,256
1996-10-01,254
1997-09-01,252
1998-01-01,250
2002-12-01,248
1996-01-01,247
1995-09-01,246
2004-09-01,245
2002-03-01,243
1996-02-01,242
2002-02-01,241
1998-04-01,240
1995-01-01,239
1997-01-01,238
2002-04-01,235
1993-12-01,234
1995-08-01,234
1996-09-01,234
2003-07-01,234
1998-03-01,233
1994-11-01,231
1999-04-01,226
1998-02-01,225
2003-05-01,222
1994-01-01,222
2005-10-01,221
1994-06-01,220
2004-08-01,220
2002-05-01,220
1996-08-01,219
2003-12-01,217
1997-02-01,213
2003-03-01,211
2003-06-01,210
1997-06-01,209
1997-07-01,209
1996-04-01,208
2002-06-01,207
2004-11-01,207
1996-05-01,207
1995-05-01,207
1994-03-01,206
1997-05-01,205
1993-11-01,203
1994-09-01,203
1996-06-01,200
2006-09-01,200
1995-03-01,199
1995-02-01,199
1995-06-01,197
2005-09-01,196
1994-10-01,195
1996-03-01,192
1994-02-01,191
1996-07-01,189
2006-08-01,189
2004-12-01,188
2004-02-01,187
2004-06-01,187
2003-04-01,185
1993-10-01,185
2003-01-01,183
2004-07-01,182
2006-10-01,180
2004-05-01,180
2005-01-01,179
1994-07-01,179
1997-04-01,178
2004-03-01,177
2005-11-01,177
2005-08-01,175
1994-08-01,174
1995-07-01,172
2004-04-01,171
1993-09-01,169
1993-08-01,165
1997-03-01,163
2003-02-01,163
1994-05-01,161
1992-12-01,158
1995-04-01,158
2004-01-01,156
2005-06-01,155
2005-12-01,151
1994-04-01,151
1993-07-01,149
2005-07-01,148
2005-02-01,147
2005-04-01,146
1990-10-01,143
2006-12-01,143
1993-06-01,142
1992-11-01,141
2006-01-01,141
2005-03-01,141
2006-02-01,140
1993-01-01,140
1993-02-01,139
2006-03-01,137
1993-05-01,135
2006-11-01,135
2006-06-01,135
1993-03-01,134
2006-07-01,133
2005-05-01,133
2006-04-01,132
1992-10-01,127
1990-07-01,125
1993-04-01,124
1990-12-01,124
2006-05-01,124
1990-08-01,124
2007-03-01,123
1990-09-01,121
2007-08-01,120
1991-11-01,120
1990-11-01,119
1992-02-01,119
1992-05-01,119
1991-06-01,118
1991-05-01,115
1991-10-01,115
1989-03-01,114
1992-07-01,113
1989-08-01,112
2007-09-01,112
1990-02-01,111
1991-02-01,111
1989-06-01,110
1991-07-01,110
1991-01-01,110
1991-12-01,109
2007-02-01,109
2007-06-01,109
1992-09-01,109
1989-12-01,109
2007-07-01,109
1991-08-01,108
2007-04-01,108
1992-08-01,107
1990-03-01,104
2007-10-01,104
1989-01-01,103
1990-01-01,101
1992-01-01,100
1989-07-01,97
2007-01-01,96
1991-09-01,96
1992-03-01,96
1989-10-01,96
1990-05-01,95
1989-11-01,95
1990-06-01,93
1988-03-01,92
1989-04-01,89
1991-03-01,89
1988-04-01,89
1992-04-01,88
1991-04-01,87
1992-06-01,87
1988-12-01,86
1988-07-01,86
1990-04-01,85
2007-05-01,85
1988-10-01,84
1989-09-01,82
1988-11-01,81
1988-01-01,81
2007-11-01,80
1988-02-01,80
1987-10-01,80
1986-09-01,79
1986-03-01,77
1987-07-01,77
1988-09-01,76
1988-06-01,76
1988-08-01,76
1987-03-01,75
2008-05-01,74
1987-08-01,73
1989-02-01,73
1988-05-01,73
1987-11-01,72
2008-02-01,72
1987-09-01,72
1989-05-01,71
1986-10-01,70
2007-12-01,70
1987-02-01,69
1986-11-01,69
1987-12-01,68
2008-01-01,68
1985-05-01,65
1987-04-01,65
1986-08-01,64
1987-06-01,63
2008-08-01,63
2008-06-01,62
1986-05-01,62
1986-12-01,62
1986-07-01,60
1984-11-01,59
1986-06-01,59
2008-03-01,57
1987-05-01,57
1985-08-01,57
1986-04-01,55
1984-08-01,55
1987-01-01,55
1985-06-01,55
1984-10-01,53
1985-10-01,51
1985-11-01,51
1985-03-01,51
1985-12-01,51
1985-09-01,50
1985-04-01,50
1983-09-01,49
1984-02-01,48
1983-11-01,48
1985-01-01,47
