last_payment_amount,Count
332.1,105
336.9,90
327.34,88
0.0,77
664.2,69
498.15,68
398.52,56
392.81,54
491.01,53
654.68,53
265.68,50
317.54,49
673.79,49
625.81,48
476.3,46
608.72,45
269.52,44
166.05,44
312.91,43
343.24,43
199.26,42
482.23,40
505.34,40
404.27,39
349.65,39
321.13,38
347.15,37
483.94,37
469.36,37
635.07,36
289.34,35
168.45,35
623.23,35
261.88,35
375.49,35
361.67,35
322.63,35
202.14,34
385.35,34
481.69,33
488.49,33
456.54,31
196.41,31
467.43,31
200.0,31
330.0,30
381.04,30
340.18,29
100.0,28
321.32,28
366.37,28
373.94,28
1000.0,27
286.11,27
408.22,27
163.67,27
303.21,26
531.36,26
311.62,26
339.5,26
686.48,26
750.97,26
300.0,26
187.75,26
304.36,26
336.22,25
680.36,25
365.23,24
539.03,24
171.62,24
454.96,24
293.1,24
498.13,24
400.0,23
298.88,23
411.89,23
597.78,23
387.15,23
241.12,23
274.59,23
314.25,23
876.13,23
1223.77,22
416.58,22
730.46,22
325.69,22
204.11,22
785.62,22
279.72,21
205.95,21
173.58,21
589.22,21
500.0,21
486.97,21
307.04,21
476.85,21
797.03,21
229.14,21
444.79,21
368.45,20
974.64,20
1162.34,20
256.9,20
192.68,20
464.94,20
510.27,20
264.0,20
357.64,20
500.65,20
352.56,19
578.68,19
687.42,19
378.95,19
254.03,19
298.89,19
364.29,19
1179.12,19
762.08,19
150.0,19
523.75,19
508.06,18
340.23,18
250.33,18
398.51,18
190.52,18
563.23,18
385.79,18
606.41,18
931.19,18
170.09,18
400.59,18
460.56,18
513.8,18
610.62,18
488.53,17
622.66,17
757.9,17
184.6,17
639.15,17
251.4,17
243.49,17
334.01,17
288.26,17
597.76,17
174.83,17
540.49,17
235.83,17
600.0,17
843.9,17
560.91,17
952.6,17
498.59,16
277.72,16
516.2,16
782.26,16
232.47,16
899.28,16
176.28,16
458.28,16
333.82,16
871.73,16
249.3,16
282.05,16
793.84,16
889.09,16
578.03,16
377.09,16
161.32,15
524.48,15
617.27,15
266.88,15
571.56,15
1145.69,15
152.18,15
160.57,15
514.86,15
666.82,15
294.61,15
266.06,15
505.27,15
272.15,15
654.39,15
362.78,15
994.73,15
419.58,15
842.23,15
454.74,15
184.23,15
337.19,14
258.1,14
50.0,14
373.6,14
324.98,14
434.75,14
471.37,14
553.8,14
360.33,14
747.88,14
736.89,14
444.55,14
351.37,14
830.24,14
982.02,14
208.29,14
697.38,14
157.13,14
1201.33,13
657.1,13
134.76,13
213.05,13
614.08,13
700.0,13
99.63,13
147.68,13
495.0,13
269.75,13
238.43,13
1017.07,13
156.46,13
219.04,13
929.87,13
367.74,13
285.63,13
612.89,13
384.34,13
367.58,13
244.25,13
854.86,13
291.06,13
253.18,13
158.77,13
796.18,13
333.6,13
535.54,13
395.37,13
1008.51,12
786.83,12
1249.59,12
547.84,12
257.05,12
381.48,12
723.34,12
423.08,12
252.64,12
917.97,12
359.33,12
528.84,12
798.16,12
533.75,12
249.07,12
421.64,12
408.27,12
606.32,12
247.13,12
272.98,12
390.8,12
524.56,12
468.8,12
568.7,12
488.92,12
291.44,12
802.82,12
267.06,12
580.73,12
963.38,11
350.98,11
438.07,11
808.24,11
298.17,11
344.07,11
369.2,11
371.02,11
581.18,11
101.07,11
585.61,11
155.51,11
808.54,11
682.44,11
280.46,11
385.58,11
651.37,11
343.39,11
872.52,11
306.16,11
181.39,11
450.0,11
494.69,11
280.79,11
222.28,11
242.57,11
1275.02,11
481.97,11
471.65,11
374.79,11
198.0,11
546.44,11
390.83,11
514.1,11
949.83,11
260.55,11
209.79,11
379.76,11
308.73,10
314.74,10
365.81,10
594.49,10
400.82,10
449.58,10
586.19,10
239.11,10
518.66,10
234.25,10
200.3,10
205.01,10
341.68,10
238.13,10
348.71,10
281.62,10
373.22,10
632.28,10
224.79,10
551.61,10
274.71,10
556.48,10
382.95,10
672.44,10
478.12,10
370.59,10
214.22,10
404.21,10
638.25,10
303.81,10
1215.01,10
347.8,10
552.67,10
320.29,10
660.0,10
436.26,10
417.71,10
166.91,10
893.54,10
885.19,10
170.84,10
337.56,10
946.87,10
132.84,10
363.97,10
577.31,10
1292.19,10
1010.68,10
294.06,10
311.02,10
911.78,10
586.24,10
960.71,10
211.54,10
1233.96,10
679.0,9
345.78,9
170.07,9
638.33,9
400.31,9
850.95,9
316.47,9
768.69,9
277.29,9
463.09,9
358.59,9
763.82,9
430.31,9
943.3,9
350.0,9
578.37,9
462.96,9
278.19,9
958.72,9
667.64,9
299.14,9
555.99,9
336.23,9
249.08,9
363.82,9
505.78,9
267.21,9
323.42,9
290.23,9
248.82,9
271.6,9
431.73,9
209.5,9
282.29,9
231.21,9
551.36,9
